epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.393,0.78005,2.283,1.26844,0.60836,0.22476,0.59776,0.46546,0.86227,3.23289,1.70908,0.00054784,0.00054784,0.00054784
2,248.151,0.83372,1.5241,1.28092,0.54051,0.77387,0.59246,0.44637,1.07969,2.93237,2.01629,0.00108166,0.00108166,0.00108166
3,367.829,0.84758,1.33952,1.27127,0.42558,0.46881,0.53946,0.43278,1.08917,3.27612,1.83837,0.00159347,0.00159347,0.00159347
4,487.758,0.82399,1.27912,1.23641,0.44422,0.58767,0.45938,0.30103,1.43775,2.52679,2.44867,0.00156798,0.00156798,0.00156798
5,609.249,0.77884,1.14683,1.20036,0.40586,0.5995,0.45504,0.29314,1.57806,2.49499,2.67641,0.00153497,0.00153497,0.00153497
6,728.628,0.75104,1.08579,1.18939,0.46809,0.54132,0.55733,0.44141,1.13282,2.17835,1.88521,0.00150197,0.00150197,0.00150197
7,848.737,0.75652,1.08128,1.20668,0.54007,0.85147,0.60016,0.42818,1.06001,1.85168,1.81326,0.00146896,0.00146896,0.00146896
8,969.268,0.73892,1.03275,1.1717,0.61808,0.71842,0.64002,0.51191,1.04098,1.88207,1.78782,0.00143595,0.00143595,0.00143595
9,1089.83,0.71361,1.00328,1.17402,0.6091,0.75275,0.63771,0.50285,1.00819,1.76862,1.81016,0.00140295,0.00140295,0.00140295
10,1256.85,0.70699,0.95773,1.16899,0.62804,0.8462,0.67718,0.52874,1.02174,1.54255,1.78651,0.00136994,0.00136994,0.00136994
11,1568.14,0.67532,0.92023,1.14863,0.55156,0.84432,0.62637,0.49723,0.9444,1.55042,1.7182,0.00133693,0.00133693,0.00133693
12,1839.37,0.67616,0.90321,1.15268,0.53582,0.81987,0.62305,0.49706,1.1092,1.67492,1.97835,0.00130393,0.00130393,0.00130393
13,2062.24,0.69128,0.89411,1.15196,0.46211,0.85697,0.52124,0.38848,0.94383,1.47647,1.71979,0.00127092,0.00127092,0.00127092
14,2345.71,0.69552,0.89805,1.16085,0.51821,0.76543,0.63182,0.5166,0.97122,1.43977,1.70536,0.00123791,0.00123791,0.00123791
15,2554.05,0.62873,0.80979,1.11228,0.59859,0.84016,0.69888,0.5497,0.99374,1.49365,1.74594,0.00120491,0.00120491,0.00120491
